1;Zemljište;NULL
2;Graðevinski objekat;NULL
3;Caddy 678-E-884;VP
6;Torba sa alatom Katun platt;MAG-5
7;Torba sa alatom;NULL
8;Torba sa alatom;NULL
9;Torba sa alatom;MAG-2
11;Torba sa alatom;NULL
12;Torba sa alatom;PS
14;Torba sa alatom Katun platt;SERVIS 4
15;Torba sa alatom Katun platt;SERVIS 1
16;Monitor Samsung 550 S;PO-1D
24;Usisivaè veliki;MAG-4
46;Stolica;NULL
47;Stolica;NULL
54;Stolica;PS
56;Laptop Asus A2400 H+torba za laptop;PS
57;PP aparat 24293/09 tip S-9A;PAK
77;Ispravljaè;PS
79;Monitor;SERVIS 1
80;Raèunar-kuæište Celeron CPU 2.00 GHz;NULL
81;Uljni radijator;NULL
82;Kompresor veliki Trudbenik;MAG-4
87;Brusilica AKKU Master C3;SIT
88;Elektrièna brusilica Meister;PS
91;Usisivaè 3M priruèni;SERVIS 4
92;Radna stolica;NULL
94;Uljni radijator;DIG
95;Usisivaè;SERVIS 1
96;Kabinet sa ladicama;NULL
98;Ormar drveni za korisni otpad;MAG-4
101;Kutija za sitne dijelove;PS
103;Lemilica;PS
104;Lemilica;PS
105;Laptop HP compaq NC 6000;NULL
108;Stolica;NULL
109;Bušilica elektrièna;MAG-5
112;Usisivaè 3M;NULL
113;PP aparat u autu 678-E-884;VP
115;Usisivaè 3M;SERVIS 4
116;Držaè papira za ruke;WC
117;Kutija za teèni sapun;WC
118;Kutija za toaletni papir;WC
119;Usisivaè 3M;SERVIS 1
120;PP aparat u autu 978-T-427;NULL
123;Unimer fluke 79-III;PS
124;Unimer iskra;NULL
125;Unimer iskra;SERVIS 1
126;Unimer iskra MI-7043;SERVIS 4
130;Auto teretno Kombi 702-M-988;LOGISTIKA
133;Kalkulator canon WS-1210H;NULL
134;Unimer iskra MI-7043;SERVIS 4
135;Unimer iskra;SERVIS 1
136;Unimer iskra;NULL
137;Mjerni analogni instrument;PS
138;Multimetar fluke 79/III ser.br. 72510137;PS
140;Auto teretno Caddy 978-T-426;VP
141;PP aparat u autu tip S-1A  978-T-426;VP
145;Monitor sync master 171S;NULL
147;Radni sto;NULL
149;Raèunar-kuæište;NULL
