1	Zemlji?te	NULL
2	Gra?evinski objekat	NULL
3	Caddy 678-E-884	VP
6	Torba sa alatom Katun platt	MAG-5
7	Torba sa alatom	NULL
8	Torba sa alatom	NULL
9	Torba sa alatom	MAG-2
11	Torba sa alatom	NULL
12	Torba sa alatom	PS
14	Torba sa alatom Katun platt	SERVIS 4
15	Torba sa alatom Katun platt	SERVIS 1
16	Monitor Samsung 550 S	PO-1D
24	Usisiva? veliki	MAG-4
46	Stolica	NULL
47	Stolica	NULL
54	Stolica	PS
56	Laptop Asus A2400 H+torba za laptop	PS
57	PP aparat 24293/09 tip S-9A	PAK
77	Ispravlja?	PS
79	Monitor	SERVIS 1
80	Ra?unar-ku?i?te Celeron CPU 2.00 GHz	NULL
81	Uljni radijator	NULL
82	Kompresor veliki Trudbenik	MAG-4
87	Brusilica AKKU Master C3	SIT
88	Elektri?na brusilica Meister	PS
91	Usisiva? 3M priru?ni	SERVIS 4
92	Radna stolica	NULL
94	Uljni radijator	DIG
95	Usisiva?	SERVIS 1
96	Kabinet sa ladicama	NULL
98	Ormar drveni za korisni otpad	MAG-4
101	Kutija za sitne dijelove	PS
103	Lemilica	PS
104	Lemilica	PS
105	Laptop HP compaq NC 6000	NULL
108	Stolica	NULL
109	Bu?ilica elektri?na	MAG-5
112	Usisiva? 3M	NULL
113	PP aparat u autu 678-E-884	VP
115	Usisiva? 3M	SERVIS 4
116	Dr?a? papira za ruke	WC
117	Kutija za te?ni sapun	WC
118	Kutija za toaletni papir	WC
119	Usisiva? 3M	SERVIS 1
120	PP aparat u autu 978-T-427	NULL
123	Unimer fluke 79-III	PS
124	Unimer iskra	NULL
125	Unimer iskra	SERVIS 1
126	Unimer iskra MI-7043	SERVIS 4
130	Auto teretno Kombi 702-M-988	LOGISTIKA
133	Kalkulator canon WS-1210H	NULL
134	Unimer iskra MI-7043	SERVIS 4
135	Unimer iskra	SERVIS 1
136	Unimer iskra	NULL
137	Mjerni analogni instrument	PS
138	Multimetar fluke 79/III ser.br. 72510137	PS
140	Auto teretno Caddy 978-T-426	VP
141	PP aparat u autu tip S-1A  978-T-426	VP
145	Monitor sync master 171S	NULL
147	Radni sto	NULL
149	Ra?unar-ku?i?te	NULL
150	Grijalica-kvarcna	MODR
151	Radni sto	NULL
153	UPS-500APC	KL
158	Radna stolica ko?na	PP-2
159	Stol	MBL
160	Radna stolica	KO
162	Merdevine drvene velike	NULL
163	Ra?unar	NULL
164	Laptop fujicu simens Amilo M-7400 (ser.br. 378643)	PRODAJA
166	Fiksni telefon panasonic KX-T-2371 FXW	PRODAJA
167	Stol	MBL
168	Radni sto	NULL
171	UPS-server	SIT
172	Radni sto	SERVIS 1
173	Telefon panasonic KX-TS 3 MX W	PSV
177	Fiksni telefon panasonic KX-2371 XW	SERVIS 3
179	Stol	MBL
182	Stolica	LOGISTIKA
185	Radni sto	SERVIS 1
186	Ra?unar-ku?i?te za video nadzor sa GPRS	NULL
189	Stol	NULL
190	Fiksni telefon Panasonic KX-TS 1014X	Servis 2
191	Radna stolica	NULL
195	UPS patriot pro II 1000	SIT
197	Radna stolica	NA-PR
198	Stol	NULL
199	Radna stolica	PS
200	Ra?unar-ku?i?te	Servis 2
201	Monitor samsung sync Master 7539	NULL
203	Ra?unar-ku?i?te Samsung 52xMAX	NULL
208	Centrala-Panasonic KX-T433	NULL
209	Radna stolica	PAK
211	Stol	MBL
213	Stolica	NULL
214	Ra?unar-ku?i?te	SIT
216	Kalkulator-digitron Olymlia LCD 310E	NULL
217	Kalorifer bemind	MAL
219	Stalak sa staklima	PP-2
220	Drvena polica	MAG-2
225	Komoda	MBL
226	Stol	MBL
231	Polica za registrator	VER
232	Polica za registrator	VER
233	Polica za registrator	VER
239	Kalkulator-digitron Olymlia LCD 880J	NULL
240	Kvarcna pe?	NULL
241	Stol	MODR
242	Ra?unar	NULL
243	Ra?unar	NULL
244	Monitor daewwo-server	ML
248	Toster Elit	KUH
250	Kalkulator Olymlia LCD 880J	NULL
251	Drvena polica	MODR
255	Vje?alica	DIREKCIJA
256	Police za artikle-meta	OST-1
258	UV test MMD-1782 GS	PRODAJA
265	Telefon panasonic KX-TS-5MXW	NULL
266	Kalkulator-digitron	NULL
267	Kabinet sa ladicama	MODR
269	Printer Epson-210 TM	PS
270	Ormar-plakar sa staklima	MODR
276	Postolje drveno	MODR
278	Reklamni stalak	PP-2
281	Ra?unar-ku?i?te	NULL
282	Radna stolica	KO
283	Radna stolica	NULL
284	Ormari? sa ladicama	SERVIS 1
286	Metalni stalak	MAL
287	Radni sto	MBL
296	Golf volkswagen 19EC 929-A-017	VP
298	Telefon panasonic KX-T-2371 FXW	NULL
308	Radni sto	SSA
310	Pisa?a ma?ina Olympia carina 1	MODR
311	Kalorifer bemind	MODR
312	PP aparat	MAG-4
313	Plastifikator tip 320	SPC
